2025-07-09 17:21:50,033 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:30:15,473 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:30:15,495 | INFO | Barde à Bière | Cog chargé : candidature.py
2025-07-09 17:30:15,589 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:30:18,163 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:30:23,762 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:30:23,769 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:38:15,069 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:38:15,082 | INFO | Barde à Bière | Cog chargé : candidature.py
2025-07-09 17:38:15,174 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:38:17,807 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:38:22,137 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:38:22,142 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:38:47,819 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:39:43,435 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:39:43,440 | INFO | Barde à Bière | Cog chargé : candidature.py
2025-07-09 17:39:43,527 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:39:46,064 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:39:50,614 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:39:50,621 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:42:48,588 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:42:48,602 | INFO | Barde à Bière | Cog chargé : candidature.py
2025-07-09 17:42:48,691 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:42:51,280 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:42:55,756 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:42:55,762 | INFO | Barde à Bière | Lecture lancée.
